Title,Link,Location,Price,Information,Image,Brand
Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-shibpur-howrah-iid-1816882732,ShibpurToday,"₹ 1,75,000","2012 - 39,000 km",https://apollo.olx.in:443/v1/files/muzebvfov5dv3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-domjur-howrah-iid-1816882979,DomjurToday,"₹ 1,75,000","2012 - 39,000 km",https://apollo.olx.in:443/v1/files/3gwjo0inrnb7-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-field-ganj-ludhiana-iid-1818083217,Field GanjToday,"₹ 12,30,000","2022 - 48,000 km",https://apollo.olx.in:443/v1/files/pwudrz4x9t8m-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Grand i10 Nios,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-bishnupur-moranhat-iid-1818083211,BishnupurToday,"₹ 5,12,999","2020 - 22,000 km",https://apollo.olx.in:443/v1/files/u6x9h62eoi0u2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-mali-panchghara-howrah-iid-1817009527,Mali PanchgharaToday,"₹ 1,45,000","2012 - 38,000 km",https://apollo.olx.in:443/v1/files/3slwj9uppjss3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-royapettah-chennai-iid-1818083212,RoyapettahToday,"₹ 12,89,999","2021 - 28,000 km",https://apollo.olx.in:443/v1/files/dt32dnyb41ma-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi A4,https://www.olx.in/item/cars-c84-used-audi-a4-in-mahalakshmi-mumbai-iid-1805603133,Mahalakshmi30 Apr,"₹ 9,00,000","2013 - 42,200 km",https://apollo.olx.in:443/v1/files/ooeje6lkmi1q-ADVIN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda Amaze,https://www.olx.in/item/cars-c84-used-honda-amaze-in-chembur-mumbai-iid-1816569517,Chembur3 days ago,"₹ 4,49,000","2015 - 55,000 km",https://apollo.olx.in:443/v1/files/1uzfe2di5y413-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Renault Duster,https://www.olx.in/item/cars-c84-used-renault-duster-in-karuvular-tiruppur-iid-1802451442,Karuvular28 Mar,"₹ 7,24,000","2018 - 73,500 km",https://apollo.olx.in:443/v1/files/qoflx64dt4f63-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-ernad-manjeri-iid-1810271151,Ernad15 Jun,"₹ 8,50,000","2018 - 81,000 km",https://apollo.olx.in:443/v1/files/hmuw6yp2zvse2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-kolkata-gpo-kolkata-iid-1812329906,Kolkata GPO2 days ago,"₹ 5,32,000","2017 - 48,000 km",https://apollo.olx.in:443/v1/files/t4tdrtqo57e9-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-hope-college-coimbatore-iid-1798737258,Hope College3 days ago,"₹ 7,10,000","2019 - 59,000 km",https://apollo.olx.in:443/v1/files/bmstkflxcry02-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Grand i10 Prime,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-prime-in-jhanda-chowk-kotdwara-iid-1817302676,Jhanda ChowkToday,"₹ 2,90,000","2017 - 85,500 km",https://apollo.olx.in:443/v1/files/79rrufq1ipsw1-IN/image;s=150x0;q=50;f=webp;,hyundai
