,Title,Link,Location,Price,Image,Brand,Year,Distance Covered
31,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-shibpur-howrah-iid-1816882732,Shibpur,175000,https://apollo.olx.in:443/v1/files/muzebvfov5dv3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
32,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-domjur-howrah-iid-1816882979,Domjur,175000,https://apollo.olx.in:443/v1/files/3gwjo0inrnb7-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
33,Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-field-ganj-ludhiana-iid-1818083217,Field Ganj,1230000,https://apollo.olx.in:443/v1/files/pwudrz4x9t8m-IN/image;s=150x0;q=50;f=webp;,mahindra,2022,48000.0
34,Hyundai Grand i10 Nios,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-bishnupur-moranhat-iid-1818083211,Bishnupur,512999,https://apollo.olx.in:443/v1/files/u6x9h62eoi0u2-IN/image;s=150x0;q=50;f=webp;,hyundai,2020,22000.0
35,Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-mali-panchghara-howrah-iid-1817009527,Mali Panchghara,145000,https://apollo.olx.in:443/v1/files/3slwj9uppjss3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,38000.0
36,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-royapettah-chennai-iid-1818083212,Royapettah,1289999,https://apollo.olx.in:443/v1/files/dt32dnyb41ma-IN/image;s=150x0;q=50;f=webp;,hyundai,2021,28000.0
37,Audi A4,https://www.olx.in/item/cars-c84-used-audi-a4-in-mahalakshmi-mumbai-iid-1805603133,Mahalakshmi,900000,https://apollo.olx.in:443/v1/files/ooeje6lkmi1q-ADVIN/image;s=150x0;q=50;f=webp;,audi,2013,42200.0
38,Honda Amaze,https://www.olx.in/item/cars-c84-used-honda-amaze-in-chembur-mumbai-iid-1816569517,Chembur,449000,https://apollo.olx.in:443/v1/files/1uzfe2di5y413-IN/image;s=150x0;q=50;f=webp;,honda,2015,55000.0
39,Renault Duster,https://www.olx.in/item/cars-c84-used-renault-duster-in-karuvular-tiruppur-iid-1802451442,Karuvular,724000,https://apollo.olx.in:443/v1/files/qoflx64dt4f63-IN/image;s=150x0;q=50;f=webp;,renault,2018,73500.0
40,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-ernad-manjeri-iid-1810271151,Ernad,850000,https://apollo.olx.in:443/v1/files/hmuw6yp2zvse2-IN/image;s=150x0;q=50;f=webp;,hyundai,2018,81000.0
41,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-kolkata-gpo-kolkata-iid-1812329906,Kolkata GPO,532000,https://apollo.olx.in:443/v1/files/t4tdrtqo57e9-IN/image;s=150x0;q=50;f=webp;,hyundai,2017,48000.0
42,Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-hope-college-coimbatore-iid-1798737258,Hope College,710000,https://apollo.olx.in:443/v1/files/bmstkflxcry02-IN/image;s=150x0;q=50;f=webp;,hyundai,2019,59000.0
43,Hyundai Grand i10 Prime,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-prime-in-jhanda-chowk-kotdwara-iid-1817302676,Jhanda Chowk,290000,https://apollo.olx.in:443/v1/files/79rrufq1ipsw1-IN/image;s=150x0;q=50;f=webp;,hyundai,2017,85500.0
44,Hyundai Grand i10 Prime,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-prime-in-paltan-bazaar-guwahati-iid-1818083482,Paltan Bazaar,310000,https://apollo.olx.in:443/v1/files/ydvetii0hd3x1-IN/image;s=150x0;q=50;f=webp;,hyundai,2017,123325.0
45,Hyundai i20 Active,https://www.olx.in/item/cars-c84-used-hyundai-i20-active-in-bamnoli-village-delhi-iid-1818083441,Bamnoli Village,190000,https://apollo.olx.in:443/v1/files/8zzw7mrlcojy1-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,100000.0
46,Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-akshay-colony-hubballi-iid-1818083382,Akshay Colony,550000,https://apollo.olx.in:443/v1/files/xlgrvfgcifrc3-IN/image;s=150x0;q=50;f=webp;,hyundai,2014,97000.0
