Title,Link,Location,Price,Information,Image,Brand
Hyundai Grand i10,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-sg-highway-ahmedabad-iid-1817542965,SG HighwayToday,"₹ 4,90,000","2019 - 27,000 km",https://apollo.olx.in:443/v1/files/htyd37kt53ub2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-shanti-vihar-colony-raipur-iid-1815774715,Shanti Vihar ColonyToday,"₹ 7,50,000","2018 - 82,000 km",https://apollo.olx.in:443/v1/files/fyy43okci61n3-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-naranpura-ahmedabad-iid-1815565195,NaranpuraToday,"₹ 4,50,000","2014 - 56,000 km",https://apollo.olx.in:443/v1/files/jd2f4skvfz5d1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Santro,https://www.olx.in/item/cars-c84-used-hyundai-santro-in-nirman-nagar-jaipur-iid-1815455162,Nirman NagarToday,"₹ 4,25,000","2019 - 67,000 km",https://apollo.olx.in:443/v1/files/0w96v14zqyd23-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-nagla-kalan-aligarh-iid-1812710981,Nagla KalanToday,"₹ 1,00,000","2015 - 80,000 km",https://apollo.olx.in:443/v1/files/g0b86ceh3dkw2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Santro,https://www.olx.in/item/cars-c84-used-hyundai-santro-in-tellapur-hyderabad-iid-1793896656,TellapurToday,"₹ 1,10,000","2004 - 70,896 km",https://apollo.olx.in:443/v1/files/33pbn4ji6zgj2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-howrah-kolkata-iid-1811400487,HowrahToday,"₹ 1,37,000","2011 - 47,000 km",https://apollo.olx.in:443/v1/files/vydjb6xfiv201-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-sector-8c-chandigarh-iid-1810965325,Sector 8CToday,"₹ 6,95,000","2016 - 85,000 km",https://apollo.olx.in:443/v1/files/1njx3lhdvuf83-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai i10,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-indira-nagar-lucknow-iid-1817434391,Indira NagarToday,"₹ 2,35,000","2014 - 74,000 km",https://apollo.olx.in:443/v1/files/noxv1kg73fvx2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-valanchery-malappuram-iid-1817005520,ValancheryToday,"₹ 8,25,000","2022 - 41,000 km",https://apollo.olx.in:443/v1/files/c5yu4fr85dx61-IN/image;s=150x0;q=50;f=webp;,hyundai
